"ID","SupplierID","Name","Address","City","State","ZipCode","ContactNo","EmailID","Remarks","AccountName","AccountNumber","Bank","Branch","IFSCCode","GSTIN","PAN","CIN","OpeningBalanceType","OpeningBalance"
"1","S-0001                        ","DROOLS PET FOOD                                                                                                                                                                                         ","Coimbatore","Coimbatore                                                                                                                                                                                              ","Tamil Nadu [33]                                                                                                                                       ","641029         ","18004199990                                                                                                                                           ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33AAGCD8374B1ZT                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"2","S-0002                        ","SRI AISWARYA AGENCY                                                                                                                                                                                     ","Coimbatore","Coimbatore                                                                                                                                                                                              ","Tamil Nadu [33]                                                                                                                                       ","641030         ","9655242229                                                                                                                                            ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33ACPFS5055C1Z5                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"3","S-0003                        ","ORANGE PET NUTRITION                                                                                                                                                                                    ","Bangalore","Bangalore                                                                                                                                                                                               ","Karnataka [29]                                                                                                                                        ","560049         ","180002702040                                                                                                                                          ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","29AACC09100C1ZR                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"4","S-0004                        ","ORANGE PET NUTRITION                                                                                                                                                                                    ","Pune","Pune                                                                                                                                                                                                    ","Maharashtra [27]                                                                                                                                      ","412216         ","18002702040                                                                                                                                           ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","27AACC09100C1ZV                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"5","S-0005                        ","TRIDENT ENTERPRISES                                                                                                                                                                                     ","27/13,Thiru-vi-ka Street,Pallavaram","Chennai                                                                                                                                                                                                 ","Tamil Nadu [33]                                                                                                                                       ","600043         ","8939167614                                                                                                                                            ","tridententerprises0101@gmail.com                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33CSFPM4002DIZE                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"6","S-0006                        ","LOYAL AGENCIES                                                                                                                                                                                          ","17/8 SAKTHI VELAMMAL 1ST SREET","MADURAI                                                                                                                                                                                                 ","Tamil Nadu [33]                                                                                                                                       ","               ","9842174523                                                                                                                                            ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33AACFL2234R1Z7                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"7","S-0007                        ","FIDUSPETLIFE                                                                                                                                                                                            ","KL","KL                                                                                                                                                                                                      ","Kerala [32]                                                                                                                                           ","678013         ","8590332880                                                                                                                                            ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","32AEVPV2613R1ZO                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"8","S-0008                        ","VM classic                                                                                                                                                                                              ","t nagar","chennai                                                                                                                                                                                                 ","Tamil Nadu [33]                                                                                                                                       ","600017         ","28158932                                                                                                                                              ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33AAACV9689H1ZT                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"9","S-0009                        ","sri meenakshi enterprises                                                                                                                                                                               ","plot no.6,thiupathi nagar second street,avaniyapuram","madurai                                                                                                                                                                                                 ","Tamil Nadu [33]                                                                                                                                       ","625012         ","8940848471                                                                                                                                            ","                                                                                                                                                                                                        ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33AHUPL6089M1ZF                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
"10","S-0010                        ","ROYAL CANIN                                                                                                                                                                                             ","2/245,1ST STREET,SRI DEVI","CHENNAI                                                                                                                                                                                                 ","Tamil Nadu [33]                                                                                                                                       ","600056         ","7400064035                                                                                                                                            ","@                                                                                                                                                                                                       ","","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                                                                                                                      ","                                                  ","33AADCR4417J1ZH                                                                                     ","                                                                                                    ","                              ","CR                  ","0.00"
